Diabetes,GDP,Internet,UrbanPop,Income
7.90628312248357,45356652360747.1,72.1465137320951,79.9155955032324,32362.9378551599
6.34500401930716,19991425369315,24.8287165674382,50.027162795415,3607.72717192841
6.11798184580286,21461874856001.9,20.5702223435756,46.0944897411156,2963.43934514228
6.35679270961588,717963085057.526,9.55941529876918,38.7413656174561,1272.14132353881
4.57604225974335,750777944926.932,4.90311947202785,30.6787495364308,693.027795323979
5.26226628053325,13505549757437,36.0373430789403,55.3033034216565,4827.07325811681
7.45344259967577,4904594232667.31,34.1500352706399,78.2456963486687,7255.18733670165
4.27071813535908,674361620888.105,4.12030349929693,29.4653155431652,613.584636631989
6.10859670335765,20698282758550.8,20.0745390688864,45.9660205065247,2871.13042077651
3.99033684198162,370611560267.823,4.2014557921291,29.5727082436299,510.535936742981
6.91948173357034,4469263027624.2,10.7055827686978,36.9380450630453,1383.73695514389
9.06093337899003,1383884078442.77,20.8490287449386,59.0509548191829,3365.31258116237
9.06538089982373,1374988166298.78,20.6449973373033,58.8772007814101,3381.20922063584
6.28818379731093,20326630250704.3,21.7641840823716,47.7907993148667,3133.54664904498
10.1865011321469,16611339953589.4,72.5489982887815,80.7919856987222,40675.7200278074
7.82909400494242,44705617597884.4,67.7367619207762,79.0505205409302,29735.5017477791
7.12380937552954,6434900058.15315,12.9611649582746,36.8585337380262,2497.8403744688
7.62591580401397,42472161836265,71.0078451920983,79.8551061186935,32726.3309119326
4.32546883625797,1016425763633.33,6.11904011626366,36.8724270933765,1022.17298938197
8.01318375426606,395383133039.094,25.9464678357027,54.7873202307851,7819.21235862135
7.813139538374,2060781195902.96,7.21973969713248,30.8173672497108,1108.13317144654
3.80524391127694,1371497000323.48,7.00460756754665,35.9983826938931,1184.74186697804
3.80372503460963,1370527198887.1,7.00094621946545,35.9965915388542,1183.92042406203
3.80524391127694,1371497000323.48,7.00460756754665,35.9983826938931,1184.74186697804
5.70360657657031,15857384500633.1,33.5109059363534,59.4726276821499,5016.93490352466
6.4492005698995,66051180948591.1,28.7534640611052,51.6452100333424,7804.55041928907

